NumberOfAnimals, NumberOfPlants, AvgEnergy, AvgLifespan, AvgChildren
10.0,0.0,50.0,NaN,0.0
10.0,2.0,48.0,NaN,0.0
10.0,4.0,46.0,NaN,0.0
10.0,6.0,44.0,NaN,0.0
10.0,8.0,42.0,NaN,0.0
10.0,10.0,40.0,NaN,0.0
10.0,11.0,41.0,NaN,0.0
10.0,13.0,39.0,NaN,0.0
10.0,15.0,37.0,NaN,0.0
10.0,16.0,38.0,NaN,0.0
10.0,16.0,42.0,NaN,0.0
10.0,16.0,46.0,NaN,0.0
10.0,18.0,44.0,NaN,0.0
10.0,19.0,45.0,NaN,0.0
10.0,20.0,46.0,NaN,0.0
10.0,18.0,56.0,NaN,0.0
10.0,18.0,60.0,NaN,0.0
10.0,18.0,64.0,NaN,0.0
10.0,20.0,62.0,NaN,0.0
10.0,22.0,60.0,NaN,0.0
10.0,22.0,64.0,NaN,0.0
10.0,24.0,62.0,NaN,0.0
11.0,25.0,57.27272727272727,NaN,0.18181818181818182
11.0,26.0,58.0,NaN,0.18181818181818182
11.0,25.0,64.18181818181819,NaN,0.18181818181818182
11.0,24.0,70.36363636363636,NaN,0.18181818181818182
10.0,26.0,75.4,25.0,0.2
10.0,27.0,76.4,25.0,0.2
11.0,28.0,70.36363636363636,25.0,0.36363636363636365
11.0,30.0,68.36363636363636,25.0,0.36363636363636365
11.0,31.0,69.0909090909091,25.0,0.36363636363636365
11.0,32.0,69.81818181818181,25.0,0.36363636363636365
11.0,34.0,67.81818181818181,25.0,0.36363636363636365
11.0,36.0,65.81818181818181,25.0,0.36363636363636365
11.0,35.0,72.0,25.0,0.36363636363636365
11.0,35.0,75.45454545454545,25.0,0.36363636363636365
11.0,34.0,81.63636363636364,25.0,0.36363636363636365
11.0,34.0,85.0909090909091,25.0,0.36363636363636365
11.0,33.0,91.27272727272727,25.0,0.36363636363636365
11.0,32.0,97.45454545454545,25.0,0.36363636363636365
12.0,32.0,92.5,25.0,0.5
12.0,33.0,93.0,25.0,0.5
13.0,34.0,86.3076923076923,25.0,0.6153846153846154
15.0,34.0,77.06666666666666,25.0,0.8
15.0,34.0,79.06666666666666,25.0,0.8
15.0,30.0,89.06666666666666,25.0,0.8
15.0,29.0,93.06666666666666,25.0,0.8
15.0,28.0,97.06666666666666,25.0,0.8
15.0,24.0,107.06666666666666,25.0,0.8
15.0,23.0,111.06666666666666,25.0,0.8
16.0,22.0,107.875,25.0,0.875
17.0,21.0,104.94117647058823,25.0,0.9411764705882353
18.0,19.0,103.88888888888889,25.0,1.0
18.0,18.0,106.88888888888889,25.0,1.0
18.0,19.0,106.55555555555556,25.0,1.0
19.0,20.0,100.63157894736842,25.0,1.0526315789473684
19.0,18.0,104.94736842105263,25.0,1.0526315789473684
20.0,20.0,97.8,25.0,1.1
20.0,21.0,97.3,25.0,1.1
20.0,21.0,98.3,25.0,1.1
21.0,21.0,94.57142857142857,25.0,1.1428571428571428
23.0,21.0,87.1304347826087,25.0,1.2173913043478262
25.0,20.0,81.92,25.0,1.28
27.0,21.0,75.11111111111111,25.0,1.3333333333333333
28.0,22.0,71.57142857142857,25.0,1.3571428571428572
30.0,19.0,69.93333333333334,25.0,1.4
30.0,18.0,70.93333333333334,25.0,1.4
29.0,16.0,75.51724137931035,45.5,1.3793103448275863
30.0,16.0,73.06666666666666,45.5,1.4
34.0,15.0,65.3529411764706,45.5,1.4705882352941178
36.0,12.0,64.0,45.5,1.5
36.0,11.0,64.55555555555556,53.666666666666664,1.5555555555555556
37.0,13.0,60.86486486486486,53.666666666666664,1.5675675675675675
39.0,12.0,58.15384615384615,53.666666666666664,1.5897435897435896
39.0,9.0,60.0,53.666666666666664,1.5897435897435896
39.0,10.0,58.76923076923077,53.666666666666664,1.5897435897435896
39.0,9.0,59.07692307692308,53.666666666666664,1.5897435897435896
39.0,10.0,57.84615384615385,53.666666666666664,1.5897435897435896
41.0,9.0,55.31707317073171,53.666666666666664,1.6097560975609757
42.0,9.0,53.476190476190474,53.666666666666664,1.619047619047619
43.0,9.0,51.674418604651166,53.666666666666664,1.627906976744186
44.0,9.0,49.90909090909091,53.666666666666664,1.6363636363636365
44.0,8.0,50.0,45.5,1.6590909090909092
44.0,6.0,50.72727272727273,45.5,1.6590909090909092
42.0,7.0,51.904761904761905,39.166666666666664,1.7142857142857142
43.0,6.0,50.83720930232558,39.166666666666664,1.7209302325581395
43.0,5.0,50.93023255813954,39.166666666666664,1.7209302325581395
43.0,6.0,49.627906976744185,39.166666666666664,1.7209302325581395
45.0,6.0,46.84444444444444,39.166666666666664,1.7333333333333334
46.0,6.0,45.17391304347826,39.166666666666664,1.7391304347826086
47.0,7.0,42.8936170212766,39.166666666666664,1.7446808510638299
47.0,5.0,43.4468085106383,39.166666666666664,1.7446808510638299
47.0,5.0,42.723404255319146,39.166666666666664,1.7446808510638299
46.0,6.0,42.30434782608695,36.285714285714285,1.7826086956521738
47.0,6.0,40.723404255319146,36.285714285714285,1.7872340425531914
46.0,7.0,40.32608695652174,33.55555555555556,1.8695652173913044
45.0,7.0,40.62222222222222,31.272727272727273,1.9555555555555555
45.0,7.0,40.0,29.833333333333332,2.0
46.0,7.0,38.47826086956522,29.833333333333332,2.0
45.0,8.0,38.022222222222226,35.07692307692308,1.9333333333333333
46.0,7.0,37.26086956521739,35.0,1.9782608695652173
47.0,8.0,35.148936170212764,35.0,1.9787234042553192
47.0,10.0,33.148936170212764,35.0,1.9787234042553192
47.0,9.0,33.06382978723404,35.0,1.9787234042553192
47.0,10.0,31.70212765957447,35.0,1.9787234042553192
46.0,10.0,31.717391304347824,35.8,1.9782608695652173
45.0,10.0,31.77777777777778,34.625,2.022222222222222
45.0,11.0,30.444444444444443,34.625,2.022222222222222
44.0,11.0,30.59090909090909,35.833333333333336,2.022727272727273
40.0,7.0,36.225,40.45454545454545,1.95
40.0,8.0,34.975,40.45454545454545,1.95
39.0,7.0,36.17948717948718,39.391304347826086,2.0
38.0,8.0,35.921052631578945,38.833333333333336,2.0526315789473686
36.0,10.0,35.97222222222222,39.38461538461539,2.111111111111111
36.0,10.0,35.72222222222222,39.22222222222222,2.1666666666666665
35.0,8.0,38.17142857142857,38.75,2.2
35.0,9.0,37.02857142857143,38.75,2.2
36.0,9.0,35.72222222222222,38.75,2.1944444444444446
36.0,9.0,35.388888888888886,38.75,2.1944444444444446
34.0,5.0,40.76470588235294,41.36666666666667,2.088235294117647
34.0,7.0,38.76470588235294,41.36666666666667,2.088235294117647
32.0,8.0,40.125,40.125,2.15625
32.0,9.0,39.125,39.54545454545455,2.21875
33.0,10.0,36.96969696969697,39.911764705882355,2.242424242424242
32.0,9.0,39.03125,43.916666666666664,2.15625
33.0,9.0,37.72727272727273,43.916666666666664,2.1515151515151514
33.0,10.0,36.63636363636363,43.916666666666664,2.1515151515151514
33.0,11.0,35.54545454545455,43.916666666666664,2.1515151515151514
32.0,12.0,35.625,44.2972972972973,2.15625
32.0,13.0,34.5625,44.2972972972973,2.15625
33.0,15.0,31.575757575757574,44.2972972972973,2.1515151515151514
33.0,12.0,34.121212121212125,44.2972972972973,2.1515151515151514
32.0,12.0,35.09375,46.578947368421055,2.03125
31.0,11.0,37.16129032258065,47.0,2.0
30.0,12.0,37.4,47.775,2.0
30.0,11.0,38.4,47.775,2.0
29.0,10.0,40.86206896551724,48.36585365853659,2.0
29.0,12.0,38.86206896551724,48.36585365853659,2.0
29.0,10.0,41.0,48.36585365853659,2.0
29.0,11.0,40.03448275862069,48.36585365853659,2.0
28.0,9.0,43.75,49.5,1.9285714285714286
26.829787234042552,15.5177304964539,57.44566734244837,NaN,1.223696884296569
